# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 8K of event 'cycles:P'
# Event count (approx.): 1305366482
#
# Overhead  Command          Shared Object                     Symbol                                                                                                                                                                                                                                                              
# ........  ...............  ................................  ....................................................................................................................................................................................................................................................................
#
     0.05%  tracker-extract  libextract-icon.so                [.] 0x0000000000003000
     0.05%  StreamTrans #24  libc.so.6                         [.] 0x000000000008e666
     0.05%  swapper          [kernel.kallsyms]                 [k] hrtimer_active
     0.05%  Xorg             Xorg                              [.] _CallCallbacks
     0.05%  tracker-extract  [kernel.kallsyms]                 [k] __task_pid_nr_ns
     0.05%  Xorg             Xorg                              [.] xf86ScreenToScrn
     0.05%  StreamTrans #24  libc.so.6                         [.] 0x0000000000198982
     0.05%  Xorg             Xorg                              [.] WakeupHandler
     0.05%  tracker-extract  libc.so.6                         [.] 0x000000000018afc3
     0.05%  StreamTrans #24  libc.so.6                         [.] 0x0000000000062bd7
     0.05%  tracker-extract  libgobject-2.0.so.0.8000.0        [.] 0x000000000002121c
     0.05%  swapper          [kernel.kallsyms]                 [k] enqueue_hrtimer
     0.05%  tracker-extract  [kernel.kallsyms]                 [k] vfs_getattr_nosec
     0.05%  swapper          [kernel.kallsyms]                 [k] switch_ldt
     0.05%  swapper          [kernel.kallsyms]                 [k] xhci_td_cleanup.isra.0
     0.05%  swapper          [kernel.kallsyms]                 [k] arch_scale_freq_tick
     0.05%  gnome-shell      libmozjs-115.so.115.10.0          [.] JS::Realm::traceWeakSavedStacks(JSTracer*)
     0.05%  tracker-extract  [kernel.kallsyms]                 [k] update_load_avg
     0.05%  tracker-extract  ld-linux-x86-64.so.2              [.] 0x000000000000c3dd
     0.05%  swapper          [kernel.kallsyms]                 [k] tick_nohz_stop_tick
     0.05%  gnome-shell      libmozjs-115.so.115.10.0          [.] 0x00000000005545a1
     0.05%  gnome-shell      libmozjs-115.so.115.10.0          [.] 0x0000000000589fcc
     0.05%  gnome-shell      libgjs.so.0.0.0                   [.] 0x00000000000660ab
     0.05%  gnome-shell      libmozjs-115.so.115.10.0          [.] 0x000000000055cca7
     0.05%  tracker-extract  ld-linux-x86-64.so.2              [.] 0x000000000000a468
     0.05%  tracker-extract  libc.so.6                         [.] 0x00000000000c7e10
     0.05%  tracker-extract  [kernel.kallsyms]                 [k] security_inode_getattr
     0.05%  tracker-extract  [kernel.kallsyms]                 [k] seccomp_cache_prepare_bitmap.constprop.0.isra.0
     0.05%  nautilus         libXext.so.6.4.0                  [.] _XGetRequest@plt
     0.05%  gnome-shell      libmozjs-115.so.115.10.0          [.] 0x00000000002db753
     0.05%  StreamTrans #24  libc.so.6                         [.] __rawmemchr@plt
     0.05%  gnome-shell      libmozjs-115.so.115.10.0          [.] 0x00000000002e4113
     0.05%  tracker-extract  libseccomp.so.2.5.5               [.] 0x000000000000aaea
     0.05%  tracker-extract  libglib-2.0.so.0.8000.0           [.] g_strdup
     0.05%  tracker-extract  libseccomp.so.2.5.5               [.] 0x0000000000009d08
     0.05%  tracker-extract  libjson-glib-1.0.so.0.800.0       [.] 0x0000000000009000
     0.05%  tracker-extract  [kernel.kallsyms]                 [k] folio_add_lru
